beer,brewery,style,status
Collective Arts / Garage Project Origin of Darkness ,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Bellwoods Farmhouse Classic,Bellwoods Brewery,Saison / Farmhouse / Grisette,regular
John Sleeman Presents India Pale Ale,Sleeman Breweries (Sapporo),Pale Ale - English,special seasonal
Collective Arts / KEX Origin of Darkness,Collective Arts Brewing,Stout - Imperial,regular
Bellwoods Double Jutsu,Bellwoods Brewery,IIPA DIPA - Imperial / Double IPA,special seasonal
Collective Arts / Aslin IPA No. 13,Collective Arts Brewing,IIPA DIPA - Imperial / Double IPA,regular
Grand River Plowmans Ale,Grand River Brewing (Magnotta),Red Ale / International Amber Ale,regular
Dominion City Sunsplit IPA ,Dominion City Brewing Co.,IPA,regular
Sawdust City Skinny Dipping Stout,Sawdust City Brewing Co.,Stout,regular
Great Lakes Brewery Solstice,Great Lakes Brewery (Canada),Stout - Imperial,special seasonal
Collective Arts / Siren Origin of Darkness,Collective Arts Brewing,Porter - Baltic,regular
Beyond the Pale Rye Guy,Beyond the Pale Brewing Company,IPA - Rye,regular
Bench Citra Grove,Bench Brewing Company,Sour / Wild Beer,regular
Wellington Iron Duke Strong Ale,Wellington Brewery (Canada),Strong Ale - English,regular
Sleeman Rousse / Dark,Sleeman Breweries (Sapporo),Brown Ale,regular
Beau's Patio Saison,Beau's Brewing Co. / Halcyon Barrel House,Saison / Farmhouse / Grisette,summer seasonal
Great Lakes Brewery 30th Anniversary Bourbon Barrel-Aged Russian Imperial Stout,Great Lakes Brewery (Canada),Stout - Imperial,regular
Amsterdam Space Invader,Amsterdam Brewery,IPA,regular
Great Lakes Brewery Sunnyside,Great Lakes Brewery (Canada),ISA - Session IPA,summer seasonal
Great Lakes Brewery Saison Dupump,Great Lakes Brewery (Canada),Saison / Farmhouse / Grisette,special seasonal
Flying Monkeys 12 Minutes to Destiny,Flying Monkeys Craft Brewery,Flavored - Other,special seasonal
Nickel Brook Uncommon Element,Nickel Brook Brewing Co.,Belgian Ale - Pale / Golden / Single,regular
Bellwoods Jelly King (Raspberry & Peach),Bellwoods Brewery,Sour / Wild Beer - Flavored,regular
Beau's One Ping Only,Beau's Brewing Co. / Halcyon Barrel House,Porter - Baltic,regular
Collective Arts / Põhjala Origin of Darkness,Collective Arts Brewing,Porter - Baltic,regular
Collective Arts Gose,Collective Arts Brewing,Gose,regular
Bellwoods Stay Classy,Bellwoods Brewery,Low / No Alcohol Beer - Pale,regular
Flying Monkeys Aurora Heart,Flying Monkeys Craft Brewery,Stout - Flavored / Pastry,special seasonal
Side Launch Dark Lager,Side Launch Brewing Company,Dark Lager - Dunkel / Tmavý,regular
Double Trouble Fire in the Rye,Double Trouble Brewing Co. (United Craft),Specialty Grain - Rye / Roggenbier,regular
Nickel Brook Cucumber Lime Gose,Nickel Brook Brewing Co.,Gose - Flavored,regular
Beyond the Pale Pale Ale Project,Beyond the Pale Brewing Company,Pale Ale - American (APA),regular
John Sleeman Presents Fine Porter,Sleeman Breweries (Sapporo),Porter,regular
Collective Arts / Mikkeller Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Wellington Special Pale Ale SPA,Wellington Brewery (Canada),Pale Ale - English,regular
Sawdust City Twin Pines IIPA,Sawdust City Brewing Co.,IIPA DIPA - Imperial / Double IPA,regular
Cameron's Ambear,Cameron's Brewing,Red Ale / International Amber Ale,regular
Tooth And Nail Fortissimo ,Tooth And Nail Brewing Company,Stout - Imperial,regular
Flying Monkeys Amber Ale,Flying Monkeys Craft Brewery,Red Ale / International Amber Ale,regular
Collective Arts IPA No. 12,Collective Arts Brewing,IPA,regular
Bellwoods Warp & Weft,Bellwoods Brewery,Berliner Weisse,regular
Beyond the Pale The Darkness,Beyond the Pale Brewing Company,Stout,regular
Creemore Springs urBock,Creemore Springs Brewery (Six Pints - Molson Coors),Bock - Dunkler Bock,autumn seasonal
Bench Ball's Falls,Bench Brewing Company,ISA - Session IPA,regular
Indie Alehouse Ritual Madness,Indie Alehouse Brewing Co.,Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
