beer,brewery,style,status
Le Trou du Diable Albert 3,Le Trou du Diable (Six Pints - Molson Coors),Belgian Ale - Pale / Golden / Single,regular
Hopfenstark Postcolonial IPA,Hopfenstark [Ho.st],IPA,regular
Dunham Saison Framboise,Brasserie Dunham,Saison / Farmhouse - Flavored,summer seasonal
Dunham Oro Zuur - Mosaic,Brasserie Dunham,Sour / Wild Beer,special seasonal
Le Trou du Diable Punkrauch ,Le Trou du Diable (Six Pints - Molson Coors),Smoked - Rauchbier,regular
De l'Île d'Orléans Monseigneur d'Esgly,Microbrasserie de l'Île d'Orléans (Haacht),Stout - Extra / Foreign / Tropical,regular
Dieu du Ciel! Péché Mortel - Framboise,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,special seasonal
Simple Malt IPA Classique,Simple Malt - Brasseurs Illimités,IPA - English,regular
Griffon Rousse / Brown Ale,Brasserie McAuslan (Brasseurs RJ),Red Ale / International Amber Ale,regular
Glutenberg India Pale Ale,Microbrasserie Glutenberg (Groupe Glutenberg),IPA,regular
Maltstrom IXPL des Prairies,Brasserie Artisanale Maltstrom,Pale Lager - Hoppy / India (IPL),regular
Noctem Catnip,Noctem - Artisans Brasseurs,IPA,regular
La Barberie Stout Impériale,Microbrasserie La Barberie,Stout - Imperial,regular
Le Trou du Diable SMaSH Citra,Le Trou du Diable (Six Pints - Molson Coors),IPA,regular
Le Trou du Diable Blanche de Shawi,Le Trou du Diable (Six Pints - Molson Coors),Witbier / Belgian White Ale,regular
Alchimiste IPA India Pale Ale,Alchimiste - Microbrasserie (Vilains Brasseurs),IPA,regular
St-Ambroise Double IPA,Brasserie McAuslan (Brasseurs RJ),IIPA DIPA - Imperial / Double IPA,special seasonal
Boréale Double Descente,Boréale - Brasseurs du Nord,IIPA DIPA - Imperial / Double Hazy (NEIPA),series seasonal
Le Castor Brett Zeste Saison,Microbrasserie Le Castor Brewing Co.,Saison / Farmhouse - Flavored,regular
Le Castor Stout à l'Avoine / Oatmeal Stout,Microbrasserie Le Castor Brewing Co.,Stout - Oatmeal,regular
Dieu du Ciel! L'Exorciste - Mûres,Brasserie Dieu du Ciel!,Sour / Wild Beer - Flavored,special seasonal
Hopfenstark 7 Sisters: Celeno,Hopfenstark [Ho.st],Saison / Farmhouse / Grisette,regular
Auval Guerilla SSS Triple Stout,Brasserie Auval Brewing Co.,Stout - Flavored / Pastry,regular
Dunham Saison Fleurs Sauvages,Brasserie Dunham,Saison / Farmhouse - Flavored,special seasonal
Du Lac Saint-Jean Tante Tricotante (Chardonnay),Microbrasserie Du Lac Saint-Jean,Tripel,regular
Lagabière Ta Meilleure - Citra & Mosaic,Lagabière - Brasserie Artisanale,IPA - Hazy (NEIPA),regular
Le Bilboquet La Billy Bishop,Le Bilboquet - Microbrasserie / Brasserie Olten,IIPA DIPA - Imperial / Double IPA,regular
Dunham Porter Coco Chipotle,Brasserie Dunham,Porter - Flavored,special seasonal
Simple Malt Bomba,Simple Malt - Brasseurs Illimités,IIPA DIPA - Imperial / Double IPA,regular
Le Castor Saison Rakau,Microbrasserie Le Castor Brewing Co.,Saison / Farmhouse / Grisette,spring seasonal
Simple Malt Golding,Simple Malt - Brasseurs Illimités,Pale Ale - English,regular
Le Castor Session Houblon / India Session Ale,Microbrasserie Le Castor Brewing Co.,ISA - Session IPA,regular
Le Castor Colorado,Microbrasserie Le Castor Brewing Co.,Sour / Wild Beer,regular
Dunham Sirkawa Costa Rica ''El Vandaval'',Brasserie Dunham,Stout - Imperial Flavored / Pastry,winter seasonal
De l'Île d'Orléans Jean dit Laforge ,Microbrasserie de l'Île d'Orléans (Haacht),Stout - Imperial,winter seasonal
Dunham Stout Impériale Russe (Bourbon),Brasserie Dunham,Stout - Imperial,winter seasonal
Dunham Berliner Melon Weisse BMW,Brasserie Dunham,Berliner Weisse,summer seasonal
Dieu du Ciel! 6e Soir,Brasserie Dieu du Ciel!,Pilsener - Imperial,special seasonal
Dunham SuperMoine 1 Gouden Meyer,Brasserie Dunham,Belgian Ale - Strong Pale,special seasonal
